case,target_active,target_theta_mean,target_theta_sigma,rank,elapsed_seconds,V3,V6,V9,V10,V11,V12,V15,V18,pred_active,pred_forward,pred_theta_mean,pred_theta_sigma,sim_active,sim_forward,sim_theta_mean,sim_theta_sigma,sim_theta_p95,sim_n_active,sim_n_forward,sim_n_backward,sim_bpm_score
t60,0.6,5.0,2.5,2,7.7039999999979045,-869.5733642578125,-999.9749145507812,926.2772216796875,-84.46435546875,-81.06304931640625,-745.3235473632812,59.565673828125,-416.17572021484375,0.6005536317825317,1.0021512508392334,4.988346576690674,2.482572078704834,0.61,1.0,5.25271856,2.46484605,9.60583358,305,305,0,0.5739
t60,0.6,5.0,2.5,3,7.671999999991385,-869.499267578125,-999.9703369140625,929.09765625,-85.0389404296875,-82.01812744140625,-746.3195190429688,52.112060546875,-416.04852294921875,0.5992388725280762,1.0020766258239746,4.995909690856934,2.478039264678955,0.626,1.0,5.15941185,2.50048522,9.72256008,313,313,0,0.5888
t65,0.65,4.5,2.0,1,7.907000000006519,-710.7348022460938,-729.34033203125,864.6119384765625,-143.280029296875,-146.11474609375,-918.8068237304688,-221.02825927734375,-18.07489013671875,0.6507092714309692,1.000497579574585,4.49789571762085,2.012817144393921,0.672,1.0,3.77303918,1.52925672,6.07936632,336,336,0,0.6713
t65,0.65,4.5,2.0,2,7.860000000015134,-697.1373901367188,-692.457763671875,962.1148681640625,-172.1458740234375,-195.5682373046875,-991.946533203125,-222.7613525390625,-37.21600341796875,0.6522971391677856,0.9997502565383911,4.467329025268555,2.036555051803589,0.676,1.0,4.7686791,2.4503203,9.64328593,338,338,0,0.6725
t65,0.65,4.5,2.0,3,8.703000000008615,-922.9532470703125,-887.22265625,771.79541015625,27.77783203125,-292.8369140625,-840.8341674804688,-41.39483642578125,-11.57366943359375,0.6503852605819702,1.003169298171997,4.5092291831970215,1.9648231267929077,0.782,1.0,4.09848909,2.03886407,7.82562509,391,391,0,0.782
t70,0.7,4.5,2.0,1,8.23499999998603,-731.6221313476562,-736.373291015625,855.5806884765625,-139.74322509765625,-145.96722412109375,-925.1641235351562,-187.0191650390625,-14.87481689453125,0.6995701193809509,1.0010476112365723,4.500995635986328,2.0023744106292725,0.72,1.0,3.93668884,1.67657306,6.4904255,360,360,0,0.7186
t70,0.7,4.5,2.0,2,7.812000000005355,-823.7678833007812,-976.4700317382812,825.4674072265625,-83.421875,-47.88671875,-750.0379638671875,-285.9561767578125,102.24560546875,0.6992383003234863,1.001250147819519,4.473527431488037,2.040748119354248,0.674,1.0,5.14669403,2.37592326,8.67897978,337,337,0,0.653
t70,0.7,4.5,2.0,3,7.719000000011874,-821.9310302734375,-980.5692138671875,804.0975341796875,-79.8492431640625,-43.57244873046875,-744.033203125,-294.43817138671875,80.0113525390625,0.6990028619766235,1.0014158487319946,4.472716808319092,2.039750576019287,0.696,1.0,4.77003646,2.29070344,8.4256472,348,348,0,0.682
t75,0.75,4.5,2.0,1,8.030999999988126,-754.2443237304688,-751.2371826171875,841.392333984375,-134.83050537109375,-140.2279052734375,-925.5540771484375,-189.74981689453125,-8.63330078125,0.7497733235359192,1.0013062953948975,4.4975175857543945,2.002033233642578,0.776,1.0,3.89052518,1.63755906,6.57658572,388,388,0,0.7739
t75,0.75,4.5,2.0,2,7.671999999991385,-827.5787353515625,-991.3045654296875,816.220703125,-74.34002685546875,-35.80389404296875,-736.7368774414062,-270.78753662109375,74.7154541015625,0.7487685680389404,1.0013148784637451,4.463161945343018,2.052626848220825,0.74,1.0,4.92518292,2.26101866,8.60468939,370,370,0,0.7204
