------ Begin Next Fly'm ------


"Begin Fly'm (Mon Jun 17 14:40:40 2024)"
"Ions Flown Separately, Comp Quality(3)"
"Number of Ions to Fly = 500"
"Changes:","Mass","Charge","X","Y","Z","KE","Azm","Elv","Time of Birth"
" ","NO ","NO ","YES","YES","YES","NO ","NO ","NO ","NO "


"Ion N","Events","TOF","Mass","Charge","X","Y","Z","Vt","Azm","Elv","KE Error"

1,1,0,44,1,79.7067,76.2681,87.1126,0,0,0,0
------ Begin Next Fly'm ------


"Begin Fly'm (Mon Jun 17 14:41:08 2024)"
"Ions Flown Separately, Comp Quality(3)"
"Number of Ions to Fly = 500"
"Changes:","Mass","Charge","X","Y","Z","KE","Azm","Elv","Time of Birth"
" ","NO ","NO ","YES","YES","YES","NO ","NO ","NO ","NO "


"Ion N","Events","TOF","Mass","Charge","X","Y","Z","Vt","Azm","Elv","KE Error"

74,1,0,44,1,78.3383,78.0649,90.8428,0,0,0,0
74,4,236574,44,1,68,91.5261,6.71101,0.000408452,97.2779,9.3874,2.71112e-011
75,1,0,44,1,78.7279,77.2179,86.3328,0,0,0,0
75,16,316205,44,1,71.3058,84.7909,1.70779e-006,0.000309628,95.0927,5.19698,1.0913e-011
76,1,0,44,1,79.5273,77.0771,89.3439,0,0,0,0
76,16,267987,44,1,77.6876,83.8359,1.35037e-006,0.00037532,91.2062,4.49582,7.95986e-012
77,1,0,44,1,80.3178,74.7808,86.9371,0,0,0,0
77,16,306309,44,1,84.4336,64.7579,8.16016e-007,0.00032165,87.1577,-6.83045,2.62045e-011
78,1,0,44,1,81.0058,77.4493,87.0997,0,0,0,0
78,16,305011,44,1,90.153,86.8011,1.71476e-006,0.000324387,83.7437,6.3366,1.88315e-011
79,1,0,44,1,78.1747,76.8087,89.9816,0,0,0,0
79,16,261693,44,1,66.0117,81.6479,8.33621e-007,0.000389087,97.979,3.16828,5.58303e-011
80,1,0,44,1,80.0302,77.64,87.3456,0,0,0,0
80,16,299691,44,1,82.0225,88.3619,1.12285e-006,0.000330103,88.6193,7.27541,1.71506e-011
81,1,0,44,1,78.51,75.5512,89.5514,0,0,0,0
81,16,266511,44,1,68.9755,70.9545,1.02797e-007,0.00037938,96.2968,-3.03329,1.86509e-011
82,1,0,44,1,78.4004,77.0179,86.7634,0,0,0,0
82,16,309740,44,1,68.4991,83.1964,1.84336e-006,0.000317881,96.7526,4.20962,8.80055e-012
83,1,0,44,1,78.7738,76.5328,90.1113,0,0,0,0
83,16,257650,44,1,71.1877,79.2856,1.24479e-006,0.00039369,94.9813,1.81233,3.02094e-011
84,1,0,44,1,80.6751,77.6075,87.3422,0,0,0,0
84,16,300712,44,1,87.4038,88.1219,1.06806e-006,0.000329584,85.3971,7.11548,2.26539e-011
85,1,0,44,1,79.8089,76.9219,90.6255,0,0,0,0
85,16,249949,44,1,80.013,82.6017,8.98865e-007,0.000407221,89.847,3.726,2.22432e-011
86,1,0,44,1,79.4744,75.3448,86.3107,0,0,0,0
86,16,314394,44,1,77.4762,69.4965,8.18125e-007,0.000310133,91.3589,-4.03078,1.35318e-011
87,1,0,44,1,80.8548,77.9613,87.5346,0,0,0,0
87,16,299800,44,1,88.9527,91.1445,1.55306e-006,0.000332592,84.4829,8.86236,1.36241e-011
88,1,0,44,1,78.3672,77.7776,90.2048,0,0,0,0
88,16,260634,44,1,67.5645,90.001,8.35394e-007,0.000393291,97.0756,7.95284,3.39977e-011
89,1,0,44,1,79.624,75.3461,88.0995,0,0,0,0
89,16,285967,44,1,78.5897,69.3729,1.26095e-006,0.00034717,90.6791,-4.03078,2.72163e-011
90,1,0,44,1,79.5812,75.0864,89.4323,0,0,0,0
90,16,267127,44,1,78.1422,67.0619,5.04499e-007,0.000377179,90.9388,-5.32495,1.38508e-011
