number,value,datetime_start,datetime_complete,duration,params_V10,params_V11,params_V12,params_V9,system_attrs_cma:generation,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,system_attrs_fixed_params,state
38,0.0,2026-07-01 17:37:25.861123,2026-07-01 17:38:20.713925,0 days 00:00:54.852802,-61.40319749691028,-5.283838276711684,-758.4200184408231,745.0783441334528,3.0,,,,COMPLETE
39,1.0,2026-07-01 17:38:20.982625,2026-07-01 17:39:10.236863,0 days 00:00:49.254238,-107.23618016253681,13.790503869089612,-764.6270208301846,859.7049217810453,3.0,,,,COMPLETE
40,15.0,2026-07-01 17:39:10.506727,2026-07-01 17:40:01.778857,0 days 00:00:51.272130,-94.10911632278305,6.8754893242449455,-746.5958041777726,787.274885551816,3.0,,,,COMPLETE
41,13.0,2026-07-01 17:40:02.052342,2026-07-01 17:40:55.587231,0 days 00:00:53.534889,-82.84965206183705,11.38366617171279,-756.1864859762578,757.2244581986101,3.0,,,,COMPLETE
42,13.0,2026-07-01 17:40:55.809639,2026-07-01 17:41:51.650470,0 days 00:00:55.840831,-92.64040470540888,3.32076818755894,-753.9531752772374,744.7855967328942,4.0,800495c7070000000000008c0a636d6165732e5f636d61948c03434d419493942981947d94288c065f6e5f64696d944b048c085f706f7073697a65944b088c035f6d75944b048c075f6d755f656666948c156e756d70792e636f72652e6d756c74696172726179948c067363616c61729493948c056e756d7079948c0564747970659493948c02663894898887945294284b038c013c944e4e4e4affffffff4affffffff4b00749462430820436f8e2acd044094869452948c035f636394680b68114308000000000000e03f94869452948c035f633194680b6811430862115f01d0aeb03f94869452948c045f636d7594680b6811430815282f55d11faa3f94869452948c085f635f7369676d6194680b6811430830ce38804161d93f94869452948c085f645f7369676d6194680b681143088c330e605058f63f94869452948c035f636d944b018c065f6368695f6e94473ffe1861861861868c085f776569676874739468098c0c5f7265636f6e737472756374949394680c8c076e6461727261799493944b0085944301629487945294284b014b088594680e8c02663894898887945294284b0368124e4e4e4affffffff4affffffff4b00749462894340c0fc6f2530f5e03f922449922449d23f912449922449c23f1c7d92cd463fa53fcb8b860adec6c5bf6f2cafd2f5baddbfd4e62ed098d4e6bf6f2cafd2f5baedbf947494628c085f705f7369676d6194682f68314b008594683387945294284b014b04859468118943205ad9b37ad06de33f326319f9d19ff33f6175729f7954d33f4831c0917ba0f5bf947494628c035f706394682f68314b008594683387945294284b014b0485946811894320d1cdf9bbbe88e23f880c92cc1c74f33fa683eb21db01d43ffcc3c3d02000f4bf947494628c055f6d65616e94682f68314b008594683387945294284b014b048594683989432078b12971602dd93f40a4272b3dd5e63f37fc06dc456ce03fc4b926f95e54d03f947494628c065f7369676d6194680b6811430892b894ed1bd9c23f94869452948c025f44944e8c025f42944e8c075f626f756e647394682f68314b008594683387945294284b014b044b02869468398943400000000000000000000000000000f03f0000000000000000000000000000f03f0000000000000000000000000000f03f0000000000000000000000000000f03f947494628c115f6e5f6d61785f726573616d706c696e67944b288c025f67944b048c095f6c725f616461707494898c065f616c70686194473ff66666666666668c0a5f626574615f6d65616e94473fb999999999999a8c0b5f626574615f5369676d6194473f9eb851eb851eb88c065f67616d6d6194473fb999999999999a8c065f456d65616e94682f68314b008594683387945294284b014,b044b01869468398943200000000000000000000000000000000000000000000000000000000000000000947494628c075f455369676d6194682f68314b008594683387945294284b014b104b01869468398943800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000947494628c065f566d65616e944700000000000000008c075f565369676d61944700000000000000008c095f6574615f6d65616e94473ff00000000000008c0a5f6574615f5369676d6194473ff00000000000008c055f746f6c7894680b6811430816383daccc74473d94869452948c075f746f6c787570944740c38800000000008c075f746f6c66756e94473d719799812dea118c105f746f6c636f6e646974696f6e636f76944742d6bcc41e9000008c0d5f66756e686973745f7465726d944b198c0f5f66756e686973745f76616c75657394682f68314b008594683387945294284b014b32859468398942900100001cc999e50c560000000000000000000000000000000020c0000000000000008000000000000045c000000000000000800000000000004bc000000000000000c000000000000046c00000000000000080204f4e20747269616c732e747269616c5f6964203d20747269616c5f76616c7565732e747269616c5f6964200a574845524520747269616c732e73747564795f6964203d203f20414e4420747269616c732e7374617465203d203f20414e4420747269616c5f76616c7565732e6f626a656374697665203d203f204f524445522042592043415345205748454e2028747269616c5f76616c7565732e76616c75655f74797065203d203f29205448454e203f205748454e2028747269616c5f76616c7565732e76616c75655f74797065203d203f29205448454e203f205748454e2028747269616c5f76616c7565732e76616c75655f74797065203d203f29205448454e203f20454e4420444553432c20747269616c5f76616c7565732e76616c756520444553430a204c494d4954203f204f4646534554203f000000000000947494628c055f635f316494682f68314b008594683387945294284b014b0a8594681189435068893537c3a3e63f2c139dfd585f993f0daf7c1c3d11abbf5cfccd80a111b43ff91eb1d62feaf43f1a543a7dfbb7bc3f50bb445553eebfbf55d945b43b83e23f99bbf46f431dbcbfce2d23bc21ddee3f9474946275622e,,COMPLETE
43,7.0,2026-07-01 17:41:51.995631,2026-07-01 17:42:44.407665,0 days 00:00:52.412034,-99.29944075138943,8.517328659346568,-731.2108091063408,721.3471256510811,4.0,,,,COMPLETE
44,0.0,2026-07-01 17:42:44.692260,2026-07-01 17:43:37.771623,0 days 00:00:53.079363,-66.63138269903953,8.190106394523099,-788.4618345390247,768.0468010179635,4.0,,,,COMPLETE
45,45.0,2026-07-01 17:43:38.034224,2026-07-01 17:44:29.743249,0 days 00:00:51.709025,-79.04796494001158,42.965050267544314,-746.8195001643699,771.8107796727004,4.0,,,,COMPLETE
46,12.0,2026-07-01 17:44:30.027682,2026-07-01 17:45:23.972837,0 days 00:00:53.945155,-92.95124290900237,4.97514486993029,-753.2940972560176,769.8494215093665,4.0,,,,COMPLETE
47,5.0,2026-07-01 17:45:24.241412,2026-07-01 17:46:16.322326,0 days 00:00:52.080914,-117.23612055007659,8.314531676383375,-757.6783739093518,746.8159969692865,4.0,,,,COMPLETE
48,3.0,2026-07-01 17:46:16.581012,2026-07-01 17:47:08.779772,0 days 00:00:52.198760,-105.30402609966983,17.157542023915283,-739.5202541542643,730.0765728647017,4.0,,,,COMPLETE
49,10.0,2026-07-01 17:47:09.009913,2026-07-01 17:48:00.583841,0 days 00:00:51.573928,-103.64717037961478,25.499670849963238,-734.7697549303621,724.4242922886597,4.0,,,,COMPLETE
